ID,Comment,Brand,Platform,Sentiment,Theme,Date
810,Great quality and beautiful designs.,Sapphire,Facebook,Positive,Sustainability,2024-05-10
811,Colors seem different from pictures.,Sapphire,Twitter,Neutral,Delivery Experience,2024-03-13
812,"Delivery was on time, average service.",Alkaram,Twitter,Neutral,New Collection,2024-11-22
813,Had a decent shopping experience.,Sapphire,Facebook,Neutral,Sale,2024-08-22
814,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Delivery Experience,2024-08-17
815,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,New Collection,2024-01-10
816,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,New Collection,2024-08-07
817,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Delivery Experience,2024-09-16
818,Very happy with the purchase. Will shop again!,Sapphire,Facebook,Positive,Sustainability,2024-05-25
819,Excellent customer service. Highly recommended.,Sapphire,Twitter,Positive,New Collection,2024-02-02
820,Excellent customer service. Highly recommended.,Sapphire,Twitter,Positive,New Collection,2024-06-29
821,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Facebook,Positive,Delivery Experience,2024-02-14
822,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,Delivery Experience,2024-06-23
823,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,Customer Service,2024-06-02
824,Disappointed with the delivery delay.,Sana Safinaz,Facebook,Negative,Delivery Experience,2024-01-06
825,"Delivery was on time, average service.",Gul Ahmed,Instagram,Neutral,Sustainability,2024-08-25
826,"The collection looks okay, nothing special.",Gul Ahmed,Twitter,Neutral,Delivery Experience,2024-09-28
827,"The collection looks okay, nothing special.",Gul Ahmed,Twitter,Neutral,Delivery Experience,2024-03-20
828,Had a decent shopping experience.,Sana Safinaz,Facebook,Neutral,Sustainability,2024-05-25
829,Great quality and beautiful designs.,Sapphire,Twitter,Positive,Customer Service,2024-04-20
830,Great quality and beautiful designs.,Gul Ahmed,Facebook,Positive,Sale,2024-04-15
831,Had a decent shopping experience.,Alkaram,Facebook,Neutral,Delivery Experience,2024-11-22
832,Loved the new collection! Absolutely stunning.,Sana Safinaz,Facebook,Positive,New Collection,2024-06-30
833,"Delivery was on time, average service.",Alkaram,Twitter,Neutral,Delivery Experience,2024-11-16
834,Great quality and beautiful designs.,Sapphire,Twitter,Positive,Sale,2024-02-07
835,Received a wrong item and no response to complaint.,Khaadi,Twitter,Negative,Sustainability,2024-11-25
836,Excellent customer service. Highly recommended.,Sana Safinaz,Instagram,Positive,Sustainability,2024-11-08
837,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,Customer Service,2024-07-30
838,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,Sustainability,2024-10-15
839,Bad experience with the website. Very slow.,Sana Safinaz,Instagram,Negative,Sustainability,2024-04-01
840,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,Customer Service,2024-12-09
841,Bad experience with the website. Very slow.,Alkaram,Instagram,Negative,Delivery Experience,2024-01-13
842,Had a decent shopping experience.,Khaadi,Facebook,Neutral,Sale,2024-12-20
843,Received a wrong item and no response to complaint.,Sapphire,Instagram,Negative,Customer Service,2024-09-21
844,Loved the new collection! Absolutely stunning.,Alkaram,Instagram,Positive,New Collection,2024-11-12
845,Prices are a bit high compared to last year.,Sana Safinaz,Instagram,Neutral,Sustainability,2024-12-29
846,Prices are a bit high compared to last year.,Alkaram,Instagram,Neutral,Sustainability,2024-10-11
847,Bad experience with the website. Very slow.,Gul Ahmed,Twitter,Negative,Sustainability,2024-10-03
848,Appreciate the sustainable packaging. Well done!,Sapphire,Facebook,Positive,Sustainability,2024-02-01
849,Received a wrong item and no response to complaint.,Sana Safinaz,Instagram,Negative,Sale,2024-09-02
850,Great quality and beautiful designs.,Sana Safinaz,Instagram,Positive,New Collection,2024-07-29
851,Appreciate the sustainable packaging. Well done!,Khaadi,Facebook,Positive,New Collection,2024-07-30
852,Colors seem different from pictures.,Sana Safinaz,Twitter,Neutral,Delivery Experience,2024-03-27
853,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,Sale,2024-10-23
854,Great quality and beautiful designs.,Gul Ahmed,Facebook,Positive,Sustainability,2024-02-08
855,Great quality and beautiful designs.,Khaadi,Facebook,Positive,New Collection,2024-07-02
856,Had a decent shopping experience.,Gul Ahmed,Instagram,Neutral,New Collection,2024-05-12
857,Customer service was unhelpful.,Sana Safinaz,Twitter,Negative,Delivery Experience,2024-12-02
858,Loved the new collection! Absolutely stunning.,Gul Ahmed,Instagram,Positive,Customer Service,2024-04-23
859,Disappointed with the delivery delay.,Alkaram,Facebook,Negative,New Collection,2024-01-15
860,"The collection looks okay, nothing special.",Sana Safinaz,Facebook,Neutral,Sustainability,2024-07-30
861,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,Customer Service,2024-07-05
862,Disappointed with the delivery delay.,Alkaram,Twitter,Negative,New Collection,2024-11-07
863,Customer service was unhelpful.,Gul Ahmed,Facebook,Negative,Delivery Experience,2024-10-26
864,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,Sale,2024-03-10
865,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-04-08
866,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,Delivery Experience,2024-05-31
867,Colors seem different from pictures.,Gul Ahmed,Instagram,Neutral,Sustainability,2024-06-29
868,Bad experience with the website. Very slow.,Alkaram,Twitter,Negative,Sustainability,2024-06-23
869,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Facebook,Positive,New Collection,2024-05-26
870,Customer service was unhelpful.,Gul Ahmed,Facebook,Negative,Sale,2024-12-29
871,Had a decent shopping experience.,Sapphire,Instagram,Neutral,New Collection,2024-01-30
872,"The collection looks okay, nothing special.",Khaadi,Instagram,Neutral,Customer Service,2024-07-21
873,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,New Collection,2024-05-08
874,"Poor fabric quality, not worth the price.",Sana Safinaz,Instagram,Negative,Sustainability,2024-06-12
875,Very happy with the purchase. Will shop again!,Sana Safinaz,Twitter,Positive,Sustainability,2024-08-19
876,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,New Collection,2024-01-02
877,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-05-15
878,Great quality and beautiful designs.,Alkaram,Twitter,Positive,Sale,2024-02-13
879,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,Sale,2024-04-11
880,Customer service was unhelpful.,Sapphire,Facebook,Negative,Customer Service,2024-11-28
881,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,New Collection,2024-02-27
882,Received a wrong item and no response to complaint.,Alkaram,Instagram,Negative,Customer Service,2024-02-19
883,Had a decent shopping experience.,Gul Ahmed,Twitter,Neutral,Delivery Experience,2024-12-29
884,"Delivery was on time, average service.",Gul Ahmed,Twitter,Neutral,Sustainability,2024-02-12
885,Excellent customer service. Highly recommended.,Sapphire,Instagram,Positive,Customer Service,2024-07-19
886,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,Sustainability,2024-04-04
887,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Sustainability,2024-11-29
888,Great quality and beautiful designs.,Alkaram,Instagram,Positive,Sale,2024-02-10
889,Colors seem different from pictures.,Khaadi,Facebook,Neutral,Sale,2024-02-19
890,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Customer Service,2024-08-26
891,Received a wrong item and no response to complaint.,Sapphire,Twitter,Negative,Sustainability,2024-11-16
892,Received a wrong item and no response to complaint.,Khaadi,Twitter,Negative,Sustainability,2024-07-01
893,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,Customer Service,2024-01-28
894,Colors seem different from pictures.,Sapphire,Facebook,Neutral,Customer Service,2024-06-04
895,"Delivery was on time, average service.",Khaadi,Twitter,Neutral,New Collection,2024-11-06
896,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,New Collection,2024-08-27
897,Had a decent shopping experience.,Sana Safinaz,Twitter,Neutral,New Collection,2024-08-19
898,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,New Collection,2024-02-12
899,Prices are a bit high compared to last year.,Khaadi,Twitter,Neutral,Sustainability,2024-10-04
900,Prices are a bit high compared to last year.,Khaadi,Twitter,Neutral,Customer Service,2024-11-27
901,Colors seem different from pictures.,Sana Safinaz,Facebook,Neutral,New Collection,2024-11-06
902,Great quality and beautiful designs.,Alkaram,Instagram,Positive,New Collection,2024-02-05
903,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,New Collection,2024-09-26
904,Had a decent shopping experience.,Sana Safinaz,Facebook,Neutral,Sale,2024-12-16
905,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Instagram,Positive,Sustainability,2024-10-24
906,"The collection looks okay, nothing special.",Alkaram,Twitter,Neutral,Customer Service,2024-08-11
907,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,Customer Service,2024-01-11
908,Very happy with the purchase. Will shop again!,Sapphire,Twitter,Positive,Delivery Experience,2024-02-29
909,"Delivery was on time, average service.",Sana Safinaz,Instagram,Neutral,New Collection,2024-06-01
910,Customer service was unhelpful.,Alkaram,Instagram,Negative,Sustainability,2024-02-07
911,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,Sustainability,2024-11-12
912,Appreciate the sustainable packaging. Well done!,Sapphire,Facebook,Positive,New Collection,2024-06-02
913,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,New Collection,2024-01-08
914,"The collection looks okay, nothing special.",Gul Ahmed,Instagram,Neutral,Customer Service,2024-09-16
915,"Poor fabric quality, not worth the price.",Sana Safinaz,Facebook,Negative,New Collection,2024-06-26
916,"Delivery was on time, average service.",Khaadi,Twitter,Neutral,Customer Service,2024-11-15
917,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,Sustainability,2024-04-29
918,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Instagram,Positive,New Collection,2024-08-08
919,"The collection looks okay, nothing special.",Gul Ahmed,Facebook,Neutral,Customer Service,2024-06-22
920,Had a decent shopping experience.,Sapphire,Facebook,Neutral,Customer Service,2024-07-18
921,"Delivery was on time, average service.",Sana Safinaz,Twitter,Neutral,Sustainability,2024-10-05
922,"Poor fabric quality, not worth the price.",Gul Ahmed,Twitter,Negative,New Collection,2024-06-15
923,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,Sale,2024-12-07
924,"Delivery was on time, average service.",Gul Ahmed,Twitter,Neutral,Sustainability,2024-06-08
925,"Delivery was on time, average service.",Sana Safinaz,Instagram,Neutral,Sustainability,2024-11-08
926,Had a decent shopping experience.,Sapphire,Twitter,Neutral,Customer Service,2024-08-11
927,Bad experience with the website. Very slow.,Gul Ahmed,Twitter,Negative,New Collection,2024-04-20
928,Disappointed with the delivery delay.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-06-24
929,Great quality and beautiful designs.,Khaadi,Twitter,Positive,New Collection,2024-02-18
930,Received a wrong item and no response to complaint.,Sana Safinaz,Facebook,Negative,New Collection,2024-10-03
931,Loved the new collection! Absolutely stunning.,Khaadi,Facebook,Positive,Customer Service,2024-04-13
932,Loved the new collection! Absolutely stunning.,Sana Safinaz,Twitter,Positive,Sustainability,2024-05-21
933,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Sustainability,2024-01-06
934,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,Delivery Experience,2024-10-19
935,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,Sale,2024-03-14
936,Colors seem different from pictures.,Khaadi,Instagram,Neutral,Delivery Experience,2024-10-16
937,Disappointed with the delivery delay.,Khaadi,Facebook,Negative,Customer Service,2024-10-15
938,Had a decent shopping experience.,Gul Ahmed,Facebook,Neutral,Sustainability,2024-06-02
939,Customer service was unhelpful.,Sana Safinaz,Facebook,Negative,New Collection,2024-02-01
940,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,Sustainability,2024-09-05
941,Loved the new collection! Absolutely stunning.,Sana Safinaz,Twitter,Positive,Sale,2024-01-30
942,Customer service was unhelpful.,Sapphire,Twitter,Negative,Sale,2024-08-04
943,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,New Collection,2024-10-17
944,Bad experience with the website. Very slow.,Gul Ahmed,Twitter,Negative,Delivery Experience,2024-09-18
945,Customer service was unhelpful.,Alkaram,Instagram,Negative,New Collection,2024-05-08
946,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,Sale,2024-04-02
947,"Delivery was on time, average service.",Khaadi,Instagram,Neutral,Customer Service,2024-03-13
948,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Customer Service,2024-01-02
949,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,Sale,2024-12-25
950,Disappointed with the delivery delay.,Khaadi,Facebook,Negative,Sale,2024-08-09
951,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Instagram,Positive,Delivery Experience,2024-06-09
952,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Customer Service,2024-08-30
953,Great quality and beautiful designs.,Sapphire,Instagram,Positive,Customer Service,2024-12-29
954,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,Sale,2024-09-30
955,Prices are a bit high compared to last year.,Alkaram,Twitter,Neutral,Sale,2024-06-12
956,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,Delivery Experience,2024-09-22
957,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Sale,2024-06-30
958,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,Customer Service,2024-05-16
959,Very happy with the purchase. Will shop again!,Sana Safinaz,Twitter,Positive,Customer Service,2024-01-19
960,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,Customer Service,2024-01-24
961,"Poor fabric quality, not worth the price.",Gul Ahmed,Twitter,Negative,New Collection,2024-03-31
